Symbol,Last_Price,Industry,Sector
XNET,5.79,Software - Infrastructure,Technology
GFR,5.78,Oil & Gas E&P,Energy
QMCO,5.78,Computer Hardware,Technology
RVSN,5.78,Railroads,Industrials
FSCO,5.77,Asset Management,Financial Services
NUVB,5.77,Biotechnology,Healthcare
TRT,5.77,Semiconductor Equipment & Materials,Technology
INGN,5.76,Medical Devices,Healthcare
RCS,5.75,Asset Management,Financial Services
QTRX,5.74,Medical Devices,Healthcare
ICL,5.73,Agricultural Inputs,Basic Materials
BRSP,5.73,REIT - Mortgage,Real Estate
MNTS,5.71,Aerospace & Defense,Industrials
AVR,5.71,Medical Instruments & Supplies,Healthcare
EWCZ,5.71,Household & Personal Products,Consumer Defensive
SKIL,5.7,Education & Training Services,Consumer Defensive
ACP,5.7,Asset Management,Financial Services
VRCA,5.69,Biotechnology,Healthcare
SJT,5.69,Oil & Gas E&P,Energy
CADL,5.68,Biotechnology,Healthcare
EVLV,5.68,Security & Protection Services,Industrials
SONM,5.67,Software - Infrastructure,Technology
CLYM,5.67,Biotechnology,Healthcare
MNKD,5.66,Biotechnology,Healthcare
MTLS,5.65,Software - Application,Technology
RERE,5.65,Internet Retail,Consumer Cyclical
NCTY,5.65,Capital Markets,Financial Services
TPVG,5.65,Asset Management,Financial Services
BORR,5.64,Oil & Gas Drilling,Energy
QVCGP,5.63,Internet Retail,Consumer Cyclical
FSI,5.63,Specialty Chemicals,Basic Materials
GGN,5.63,Asset Management,Financial Services
CNF,5.62,Mortgage Finance,Financial Services
FGI,5.62,"Furnishings, Fixtures & Appliances",Consumer Cyclical
FORR,5.61,Consulting Services,Industrials
LYG,5.61,Banks - Regional,Financial Services
WEAV,5.6,Health Information Services,Healthcare
GURE,5.6,Chemicals,Basic Materials
SVRA,5.6,Biotechnology,Healthcare
MI,5.6,Internet Retail,Consumer Cyclical
PSIG,5.59,Integrated Freight & Logistics,Industrials
AIRG,5.58,Communication Equipment,Technology
POET,5.58,Semiconductors,Technology
YEXT,5.57,Software - Infrastructure,Technology
AURA,5.57,Biotechnology,Healthcare
GTE,5.57,Oil & Gas E&P,Energy
IMDX,5.57,Diagnostics & Research,Healthcare
CMCM,5.56,Internet Content & Information,Communication Services
DLHC,5.56,Specialty Business Services,Industrials
SLNG,5.55,Oil & Gas Integrated,Energy
FHTX,5.55,Biotechnology,Healthcare
CVKD,5.54,Biotechnology,Healthcare
MFM,5.54,Asset Management,Financial Services
FINV,5.54,Credit Services,Financial Services
MLCO,5.53,Resorts & Casinos,Consumer Cyclical
AENT,5.5,Entertainment,Communication Services
CXM,5.49,Software - Application,Technology
LTRX,5.48,Communication Equipment,Technology
ACDC,5.47,Oil & Gas Equipment & Services,Energy
XPER,5.46,Software - Application,Technology
ILPT,5.46,REIT - Industrial,Real Estate
JLHL,5.43,Building Products & Equipment,Industrials
ECOR,5.43,Medical Devices,Healthcare
AMPY,5.42,Oil & Gas E&P,Energy
RVSB,5.42,Banks - Regional,Financial Services
ASPS,5.41,Real Estate Services,Real Estate
AMWL,5.4,Health Information Services,Healthcare
