Symbol,Last_Price,Industry,Sector
AVY,195.8,Packaging & Containers,Consumer Cyclical
XPO,195.33,Trucking,Industrials
TTWO,193.67,Electronic Gaming & Multimedia,Communication Services
CTAS,193.44,Specialty Business Services,Industrials
ODFL,193.21,Trucking,Industrials
EFX,192.8,Consulting Services,Industrials
AMT,192.1,REIT - Specialty,Real Estate
GATX,192.06,Rental & Leasing Services,Industrials
STLD,191.68,Steel,Basic Materials
EGP,190.92,REIT - Industrial,Real Estate
CRM,189.72,Software - Application,Technology
BOOT,187.99,Apparel Retail,Consumer Cyclical
PM,187.51,Tobacco,Consumer Defensive
ALGN,186.77,Medical Instruments & Supplies,Healthcare
RHLD,186.43,Specialty Business Services,Industrials
AMR,185.52,Coking Coal,Basic Materials
HUM,184.1,Healthcare Plans,Healthcare
LGND,183.83,Biotechnology,Healthcare
CVX,183.74,Oil & Gas Integrated,Energy
NUE,183.23,Steel,Basic Materials
NVDA,182.78,Semiconductors,Technology
MMC,182.7,Insurance Brokers,Financial Services
SNOW,182.29,Software - Application,Technology
FCFS,181.89,Credit Services,Financial Services
VRSK,181.21,Consulting Services,Industrials
AXSM,181.21,Biotechnology,Healthcare
DLR,180.97,REIT - Specialty,Real Estate
TXRH,180.9,Restaurants,Consumer Cyclical
BCPC,180.81,Specialty Chemicals,Basic Materials
ALLE,179.5,Security & Protection Services,Industrials
MKTX,179.36,Capital Markets,Financial Services
KWR,179.34,Specialty Chemicals,Basic Materials
ATO,179.25,Utilities - Regulated Gas,Utilities
ENS,179.2,Electrical Equipment & Parts,Industrials
APPF,178.41,Software - Application,Technology
ZS,177.72,Software - Infrastructure,Technology
DAVE,177.28,Software - Application,Technology
LULU,176.42,Apparel Retail,Consumer Cyclical
LDOS,176.3,Information Technology Services,Technology
AVB,176.19,REIT - Residential,Real Estate
CHRW,176.01,Integrated Freight & Logistics,Industrials
BDX,175.89,Medical Instruments & Supplies,Healthcare
BLTE,175.26,Biotechnology,Healthcare
PRK,174.61,Banks - Regional,Financial Services
VEEV,174.11,Health Information Services,Healthcare
AGM,174.0,Credit Services,Financial Services
BR,173.7,Information Technology Services,Technology
HRI,173.12,Rental & Leasing Services,Industrials
TCGL,172.84,Software - Infrastructure,Technology
NRG,172.35,Utilities - Independent Power Producers,Utilities
PNRG,171.91,Oil & Gas E&P,Energy
MMM,171.82,Conglomerates,Industrials
THG,171.8,Insurance - Property & Casualty,Financial Services
VST,171.49,Utilities - Independent Power Producers,Utilities
CHKP,171.46,Software - Infrastructure,Technology
PAG,171.35,Auto & Truck Dealerships,Consumer Cyclical
MS,171.15,Capital Markets,Financial Services
OSK,171.08,Farm & Heavy Construction Machinery,Industrials
WMS,170.98,Building Products & Equipment,Industrials
DHIL,170.75,Asset Management,Financial Services
NHC,169.69,Medical Care Facilities,Healthcare
RY,169.47,Banks - Diversified,Financial Services
FANG,169.14,Oil & Gas E&P,Energy
DHI,167.78,Residential Construction,Consumer Cyclical
PANW,166.95,Software - Infrastructure,Technology
IQV,166.94,Diagnostics & Research,Healthcare
PRIM,166.53,Engineering & Construction,Industrials
EPAM,166.37,Information Technology Services,Technology
ALB,166.35,Specialty Chemicals,Basic Materials
JAZZ,166.31,Biotechnology,Healthcare
TOL,166.12,Residential Construction,Consumer Cyclical
PEP,165.94,Beverages - Non-Alcoholic,Consumer Defensive
HLI,165.84,Capital Markets,Financial Services
H,165.39,Lodging,Consumer Cyclical
COIN,164.32,Financial Data & Stock Exchanges,Financial Services
MIDD,163.93,Specialty Industrial Machinery,Industrials
JBTM,163.74,Specialty Industrial Machinery,Industrials
NVS,163.1,Drug Manufacturers - General,Healthcare
FCN,162.81,Consulting Services,Industrials
CINF,162.77,Insurance - Property & Casualty,Financial Services
MATX,162.18,Marine Shipping,Industrials
CAMT,162.0,Semiconductor Equipment & Materials,Technology
COKE,161.91,Beverages - Non-Alcoholic,Consumer Defensive
SNX,161.54,Electronics & Computer Distribution,Technology
CRL,161.35,Diagnostics & Research,Healthcare
LOPE,161.09,Education & Training Services,Consumer Defensive
EAT,161.07,Restaurants,Consumer Cyclical
YUM,160.57,Restaurants,Consumer Cyclical
DASH,160.34,Internet Retail,Consumer Cyclical
WCN,160.26,Waste Management,Industrials
ORCL,160.14,Software - Infrastructure,Technology
PG,160.07,Household & Personal Products,Consumer Defensive
MORN,160.03,Financial Data & Stock Exchanges,Financial Services
PSX,159.77,Oil & Gas Refining & Marketing,Energy
MZTI,159.74,Packaged Foods,Consumer Defensive
MTRN,159.68,Other Industrial Metals & Mining,Basic Materials
RJF,158.68,Asset Management,Financial Services
IT,158.58,Information Technology Services,Technology
LYV,158.27,Entertainment,Communication Services
HCI,157.96,Insurance - Property & Casualty,Financial Services
WEX,157.67,Software - Infrastructure,Technology
LCII,157.13,Recreational Vehicles,Consumer Cyclical
SITE,157.04,Industrial Distribution,Industrials
PTC,156.77,Software - Application,Technology
JKHY,156.76,Information Technology Services,Technology
ARW,156.19,Electronics & Computer Distribution,Technology
VICR,155.96,Electronic Components,Technology
